Source_Node_u,Target_Node_v,Weight_Distance_km,Highway_Type,Is_Oneway
285,2335,0.02101615133751035,residential,False
285,4019,0.020022962516092774,residential,False
286,1437,0.0072624138220442214,service,False
286,4177,0.003984583254339148,service,False
287,3508,0.00814024472213905,service,True
288,693,0.04432477133454997,service,False
288,2677,0.007602368740329707,service,False
289,130,0.04727781270188017,service,False
289,1915,0.004246184891729109,service,False
289,2429,0.004243184507732946,service,False
290,2339,0.004730976058581089,service,False
290,5472,0.011886904530000405,service,False
291,1327,0.02785595502521535,tertiary,False
291,3860,0.010358868201926934,tertiary,False
292,2044,0.015913401698921126,service,False
292,2376,0.009058844927192129,service,False
293,1228,0.010955545790833566,residential,False
293,2343,0.00871223571877871,residential,False
294,5174,0.057711246098624935,residential,False
295,420,0.017739516104817638,tertiary,True
295,2690,0.005436605606316544,service,False
296,1688,0.024259865521241826,service,False
296,5459,0.014806867364448388,service,False
297,346,0.010278649354590491,residential,False
298,1819,0.0025990923610422715,service,False
298,4806,0.025190786391912887,service,False
298,5234,0.007996431281859345,service,False
299,2342,0.010861291304085485,service,False
299,3087,0.009452767025619816,service,False
300,2686,0.0237583487721524,tertiary,False
300,3591,0.011975711594724865,tertiary,False
301,1343,0.0048669931568228264,service,False
301,1662,0.01381384013656736,service,False
302,1317,0.0038270582888311065,tertiary,False
302,3128,0.003786418773862626,tertiary,False
303,2779,0.01171152784877146,secondary,False
303,5132,0.009965291611942876,secondary,False
304,3984,0.03664841743265928,service,False
304,5158,0.003226424984740522,service,False
305,4750,0.15055840057064163,residential,True
306,1786,0.020326474993654448,service,False
306,4440,0.02213409764930698,service,False
307,2923,0.02311298917004664,service,False
308,417,0.038480645782425126,residential,False
308,2368,0.004698936067351217,residential,False
308,4307,0.0503462378801925,residential,False
309,2874,0.003690694484671674,residential,False
309,3468,0.012882974090712828,service,False
309,3958,0.01176974222779907,residential,False
310,2582,0.00460798923675938,residential,False
310,3144,0.028797707259027482,residential,False
311,591,0.01840779701103815,service,False
311,1357,0.009729997804462761,service,False
312,1389,0.028856345623411165,residential,False
312,5448,0.020251068175723017,residential,False
313,1946,0.033031646053450714,service,False
313,2010,0.04843682693149184,service,False
314,456,0.0021992005258122406,service,False
314,5455,0.006260274369768698,service,False
315,440,0.06394369076598144,service,False
316,423,0.010342857604454551,service,False
316,4843,0.012221162896755792,service,False
317,1662,0.011752525716538393,service,False
